Experiment,Condition,Technical replicate,Species,Value
1,Control,1,Bp,0
1,Control,2,Bp,0
1,Control,3,Bp,0
1,Control,1,Pa192622,100
1,Control,2,Pa192622,100
1,Control,3,Pa192622,100
2,Control,1,Bp,0
2,Control,2,Bp,0
2,Control,3,Bp,0
2,Control,1,Pa192622,100
2,Control,2,Pa192622,100
2,Control,3,Pa192622,100
1,Antibiotic,1,Bp,0
1,Antibiotic,2,Bp,0
1,Antibiotic,3,Bp,0
1,Antibiotic,1,Pa192622,100
1,Antibiotic,2,Pa192622,100
1,Antibiotic,3,Pa192622,100
2,Antibiotic,1,Bp,0
2,Antibiotic,2,Bp,0
2,Antibiotic,3,Bp,0
2,Antibiotic,1,Pa192622,100
2,Antibiotic,2,Pa192622,100
2,Antibiotic,3,Pa192622,100